texts,data_labels
[بالتوفيق والنجاح ربي يحفظهم],1
[تحية طيبة وربي يحميهم],1
[ربي يحميهم ويحفظهم سوء],1
[ربي يحميك ويحميهم الكل],1
[ربي يبارك فيهم ويحفظهم],1
[ربي يوفقكم الإطار الطبي ويحمي تونس],1
[ربي يباركلهم],1
[باللهي فضلك جدول الاحصائيات],1
[فعلا ألف تحيه و شكرا إنسانيتك],1
[انشالله ربي يحفضكم],1
[الله يبارك أصلك أصيل ويبارك أهل بيتك],1
[ان شاء الله اعوان النظافة كامل تراب الجمهورية يكونوا لابسين هكا ومحميين باش ربي يرحمنا والراحمون يرحمهم الله],1
[ربي اقويك ويحميهم],1
[ربي يحفظ تونس],1
[ربي معاكم وربي يحفظكم ويسدد خطاكم],1
[ليسو جنود خفاء الصفوف الأولية],1
[أخلاقك العالية وسام شرف جبينك],1
[ربي معاهم لازم المواطن اعاونهم],1
[ربي يحفظهم يستهلو خير],1
[ربي يبقى عليهم الستر عندو بجاه النبي والامام],1
[وعلى راسهم انت],1
[يعطيهم ألف صحة],1
[شكرا لولادنا أولاد تونس الشرفاء],1
[سي عبداللطيف كن كالشجرة المثمرة  يرمونها بالحجارة فتسقط عليهم بثمارها  الله يشدك بصحة البدن راجل],1
[نتمنا تتحسن ضروف عملهم نهار تونس و يتحضر الشعب و يحس بمعاناتهم الحترام ليهم],1
[سيدي الوزير مني الاحترام المجهود الرائع ألوم الحكومة تخاذلها الضرب العصابات إعلاميين ورجال الأعمال ومحتكرين ملاحظة أخرى القطاع الوحيد يذكر قطاع النقل يؤمن وصول بقية القطاعات الى عملهم وشكرا],1
[لأنك حر كن حريتهم],1
[#كورونا_الإحتلال_يقتل_الأسرى],1
[التوانسة الكل قلب رجل واحد ماعدا شرذمة قليلة أسأل الله ان يكفي الصادقين المخلصين شرهم],1
[شارل نيكول تأسس سنة 1897🙄],1
[الرابطة سنة 1947🙄],1
[عزيزة عثمانة سنة 1660🙂],1
[وسلملي جماعة نحلنا لقمل😂],1
[ربي يوفقك ويبعد للوبيات الفساد],1
[Rabi ya7fadhhom],1
[الإحترام والتقدير],1
[ربي يحفظكم],1
[الاحترام],1
[ربي يحفظهم],1
[ربي يرحمهم],1
[جنرال],1
[الله مستعان],1
[اجمل التحيات سيدي],1
[ربي معاهم],1
[Rabbi ya7mehom nchallah],1
[Rabi yahmihom],1
[Y3inek rabi llcha3b m3ak wrabi yar3ak],1
[تحية ليك دكتور زادة],1
[وفقك الله],1
[ربي يحفظهم جميعا],1
[الحب والتقدير],1
[انهض بطل],1
[هرب الشيخ و القس والحاخام وعباد البقر],1
[كهنة آمون وفرسان المعبد تائهون العمل],1
[هرب الحكام واعوانهم ورؤوس الأموال انه القدر],1
[خلت الساحات والحدائق والطرقات وكل المدن],1
[اين مشاهير هوليود واشباه الرجال وتيوس كرة القدم؟],1
[هرب الفنان وعارضة الازياء اكل السبع وتجار البشر],1
[أنهض بطل],1
[سيق إلي جحورهم كفئران مجاري اين المفر],1
[انت رائع بطل],1
[فليس ذكر رجل],1
[إطارات وزارة الصحة اتحدث],1
[ربي عينهم],1
[#إيطاليا المافيا تتحالف الدولة لمحاربة الكورونا #تونس المافيا تتحالف الكورونا ضد وزير الصحة],1
[#كلنا_وزير_الصحة تحيا تونس],1
[Rabi ya7fedhhom],1
[ربي يباركلكم],1
[قلب نحييهم ❤],1
[صحة التونسيين أمانة رقابكم سيدي الوزير و كامل الفريق],1
[نشالله ربي معاكم و الله ان يوفقكم خير للبلاد والعباد],1
[قال تعالى ﴿والذين لأماناتهم وعهدهم راعون * بشهاداتهم قائمون * صلاتهم يحافظون * جنات مكرمون﴾ [المعارج 32 - 35]],1
[فقط وحدها العقول الراقية تنطق الكلمات],1
[شكرا سيدي فحروف كلماتك أنصفت يعمل ويعمل ويعمل],1
[بصمتكم الانتصار وبصمتنا الفخر كشعب],1
[الله يكثر منك الناس سيدي الوزير عبد اللطيف المكي],1
[أمدح ولن أرمي الكلمات الجميلة خاطركم لأني أعلم أنكم السيد المناسب المكان المناسب وانكم مسؤولية وأمانة سأدعو الله بالتوفيق سأدعو مواطن يراجع حساباته اختيار سيعمل خدمة الوطن بكل إخلاص وارجومن الله تمر المصيبة وان تكون درسا لشعبنا الكريم وفق الله وظع نفسه للخطر أجل الوطن],1
[أثبت ان معدنك ذهب يصدأ اسأل الله ان يحفظك ويحميك وبارك صحتك والشكر موصول لكل الجيش الأبيض بلا استثناء وربي يحميكم ويحفظكم جميعا وكل أبناء تونس الارض الطيبة الداخل والخارج وبي يرفع عنا البلاء والوباء ويرحمنا بلطفه ورحمته],1
[لك مني الإحترام والتقدير سيدي الوزير],1
[متعك الله بالصحة والعافية و رزقك خير],1
[دمت فخرا لتونس و لشعبها يكن الإحترام والتقدير 🌺🌺],1
[التقدير والاحترام سي عبد اللطيف بصراحة اثبت انك الرجل المناسب المكان المناسب برغم الصعوبات القطاع الصحي وغيرها الا انك اثبت جدارتك تحمل المسؤولية انشاء الله ربي يوفقك انت وكامل الفريق الي معاك وربي يحمي تونس العزيزة],1
[رجل ككل الرجال انه رجل دولة مني الاحترام والتقدير وجزاكم الله عنا خير الجزاء الوزير عبداللطيف المكي بالتوفيق والنجاح الطاقم الطبي وكل ابناء وزارة الصحة],1
[شكرا سيدي الوزير التواضع شيمتك وهذا يدل معدنك الجيد كلماتك اعطت دفعا كبيرا للناس العاملين بهذا الميدان امض والله المستعان وفقك الله وايدك بقوته],1
[كنت فانت صاحب واجب و قدرة العطاء لهذا الوطن الشعب معاك و ربي يرعاك فأنت الرجل المناسب الوقت المنايب],1
[وفقكم الله خير البلد العزيز ودمتم انتم وامثالكم الوطنيين الاحرار ذخرا لهذا الوطن العزيز],1
[التقدير والاحترام ان شاء الله ترجعولنا هيبة الصحة والتعليم بلادنا العزيزة],1
[الله يحفظك و انشاء الله ربي أكون فى العون وكل خدم جهاز الصحة باخلاص ووطنية يلقاه فى ميزان حسناته],1
[المثل يقولتواضع اذا نلت الناس رفعة],1
[فان رفيع القوم يتواضع],1
[و سيادتكم قمة التواضع سدد الله خطاكم خير البلاد و العباددمتم سالمين],1
[كان الله عونك مادمت صادق ومخلص عملك وترجو وجه الله إيمان ويقين تلقى الله بهاته الأمانة حملت فيكون حجة],1
[قمة الوطنية و التضحية يوم تكبر عيونا اكثر و الثقة فيك تكبر ربي يحميكم رجال بلادي ابرز مثال للوحدة الوطنية],1
[ربى ايبارك فيك سى عبد اللطيف أنك ذخرا لقطاع الصحة ونحن نتشرف تكون قائدنا],1
[تحملت المسؤولية الكبرى عاتقك بكل صدق وأمانة وإخلاص أقسمت العمل بصدق  وفقك الله خدمة الوطن والإنسانية اخدم والشعب معاك ],1
[سي عبد اللطيف شكرناك نوفيك حقك لهذا اقول جازاك الله خير و ربي يقويك و ينصرك],1
[تحية احترام وتقدير لكل شخص كانت صفته أطباء ممرضين مبنجين أعوان المخابرصيادلة الإطار شبه الطبي عملة النظافة والتعقيمالجيش والشرطة والحرس الوطني والحماية المدنية وكل الأطراف المتداخلة موقعه صغر كبر انتم الدرع الحصين دعواتنا ترعاكم وقلوبنا معكم],1
[ثروة البلاد تتكون أطباء و ممرضين وفنيين و أعوانوزارة الصحة حكرا علي الاطباء و الجميع معرضين لنفس المخاطر],1
[ربي اوفقك ويعطيك صحة بدنك الأزمات الي توري معدن الناس وانتم معدنكم طيب ربي اباركلك انشالله],1
[يرحم والديك سي عبد اللطيف ورسالة شكر بإسمي وبإسم كافة الشعب للمجهود الجبار تقومون وربي إعينكم],1
[بعد انتهاء ازمة الكورونة ، لازم يتم انشاء مستشفيات جديدة والبحث تمويلات وموارد جديدة لفائدة القطاع الصحي والتشجيع تصنيع الاجهزة الطبية بمختلف انواعها ودعم البحث العلمي  لانو هاذي ثروة البلدان الحقيقية ، لانو حد ماهو بش يعاونك وقت الشدة !],1
[الدعم لدكاترنا وعلى رأسهم السيد عبد اللطيف المكي ],1
[بربي دكتور اتفكرونا ممرضين و اطباء و قابلات مستشفي التوليد و الولدان بالمنستير نداء بربي اتفكرونة برشا نواقص],1
[معرض الكرم كان تهيؤوه بصفة اسثنائية لاحتواء المصابين بالكورونا les stands peuvent relativement assurer l isolement d un gd nbre des patients infectés],1
[على قدر أهل العزم تأتي العزائم],1
[اختلف معك سياسيا و اتفق معك وطنيا مجهودات تذكر فتشكر ربي يوفقكم خير البلاد والعباد],1
[رجل زمن عز الرجال قائد ورجل المرحلة بامتياز الدعم والتقدير حماك الله وزودك بالقوة  اخدم الشعب معاك],1
[سى عبد اللطيف نحبوك و نحترموك و ننصحك سيب الفيسبوك و سيب الدفاع نفسك لينا و برا أهبط للمستشفى آت و للجهات],1
[عرفناك بأخلاصك وجديتك لذلك دخلت قلوب التونسيين وفق الله انت وكافة الإطار اطباء وممرضين وإداريين وعملة],1
[منا الاحترام والتقدير وفقكم الله الخير للبلاد والعباد],1
[القيادة، يشجع القائد كامل فريقه بالإقصاء، القائد يستمع الى فريقه استثناء، القائد يسهر و يحمي سائر أعضاء الجسد],1
[ربي يبارك أعمالك وصحتك],1
[تونس مستحقة لوطنيين مثلك],1
[واحنا كشعب ننسى تعبك لاجل سلامتنا الاحترام سيدي],1
[ربي معاك وان شاء الله سنتخطى الازمة باذن الله],1
[ربي معاك واطارات الصحة معاك وخاصة الممرضين],1
[تحية احترام وتقدير و لكل يعمل بجد وتفاني وفقكم الله وثبت خطاكم واعانكم تحمل المسؤولية],1
[سي عبد اللطيف يبارك فيك، انت مهمة صعبه و انت أهل بمشيئة الله تترك الذباب يلهيك ذلك، كلنا ثقة فيك و مجهودك  بارك الله فيك و ربي يوجهك للتوفيق و الخير],1
[ربي يبارك أعمالك وصحتك تونس مستحقة لوطنيين مثلك بصراحة أثبت انك الرجل المناسب المكان المناسب برافو],1
[كل الإحترام و التقدير و سيكتشف الشعب التونسي معدنك الأصيل],1
[و إخلاصك و صدقك و برامجك القطاع الصحي شاء الله أزمة الكورونا#كان الله عونك#],1
[التقدير والاحترام --كان الله عونكم وسدد خطاكم خير البلاد والعباد],1
[ربي معاك ومع اطارات واعوان الصحة وربي يحفظكم ويحفظ الأمن والجيش ويحفظ الخضراء],1
[انت بالف رجل تعمل بصدق ودخلت قلوب التونسيين المخلصين],1
[نثق فيك],1
[وفقك الله ورعاك],1
[الاحترام و التقدير تبذلونه الطاقم الطبي و الشبه الطبي مجهود يشكر فيذكر سيجعله التاريخ],1
[و البلاد ثروتها شعبها ،و شعبها الاستاذ و المعلم و الممرض و أصحاب الحرف اليدوية !! الازمة الناس الكل الواجهة ،من الامني ،،للعامل الحراسة ،،للممرض ،و للطبيب !! لاعوان القبول !! الناس الكل تخدم و معرضة ارواحها و عايلاتها للخطر !! و لوكان عندك قيم و مبادئ الطبيب تحكيش هكة!!],1
[تقدير والاحترام لدكتور عبد اللطيف مكي ربي كون عونك],1
[ربي معاك سيدي الوزير ربي يوفقك وان شاء لله علي ايدك تتصلح الصحة وترتقي الي الاحسن],1
[مستشفى الحبيب بورقيبة-الهادي شاكريقدم خدمات صحية لعشرة ولاياتيعني لأكثر 4 ملاين تونسيالمفروض ثاني مخبر لأخذ العينات العاصمة يكون صفاقس اذا الدولة جادة تعميم التحاليل و محاصرة الفيروس],1
[احداث مخبر المنستير و سوسة تباعا يومي الاثنين و الثلاثاء تنجم تكون كان حاجة تفرحأما يخليك تتساءل المعايير اللي تعتمدها الوزارة إعطاء الأولوية للجهاتالمعطى الجغرافي يفترض أنو مخبر صفاقس عندو جمعة يخدم باش يفك العزلة ولايات الجنوب اللي للأسفموش لاقيين حظ الاستعجالي و مخبر لأخذ و تحليل العينات],1
[الخبر الوزارة باش تعمل مخبر صفاقس وقت اللي يسهل ربي],1
[انتم توكلتم الله تخافوا،، ولكم الاحترام والتقدير سيدي الوزير ،، وربي يعطيك الصحة والعافية لتتواصل مسيرتكم،، توكل الله تخش شيئا],1
[شكرا سيدي الوزير و الدكتور عبد اللطيف المكي و كافة الطاقم الطبي المرافق يعج بالكفاءات، علي السعي والجهود المبذولة لإجاد حلول ناجعة لإنقاذ المواطنين كافة أنحاء البلاد تفرقة الجيهات],1
[ندعو الله يوفقكم جميعا ، فالسعي عندكم و التوفيق الله],1
[الدعم لوزير الصحة الله يحفظه ويخليه],1
[حماك الله و أيدك بروح],1
[دمت فخرا و ذخرا جميعا سيدي],1
[ربي يبارك فيك الى تراجع و استسلام ارادتك ارادة الله و ارادة الله تقهر بطل],1
[ربي يخليك لينا سيدي الوزير وسيادتكم معروف بالصمود والمقاومة ونظافة اليد والضمير نريدكم تبعد عنا فنحن واقفين بالله وبيكم ويرحم الأم انجبتكم],1
[يمكن اكثر ناس لحقهم دعاء خير المدة الاخيرة هوما والديك هنيءا بولد صالح يحصدون وراءه النعيم الله يرحم والديك و ربي ايباركلك ],1
[شكرا سيد الوزير مجهود ك اللذي تبذله أجل البلاد انت تادي الامانه اكمل وجه وفقك الله وجزاك أعمالك النبيل انت وكل العاملين معك],1
[الحب والاحترام والتقدير سيدي الوزير ربي يباركلكم وربي يحفظكم كومندوس المرحلة اعشقكم شخصيتكم تفاصيلكمنتمنى تونس توصل لبر الامان وانكرموك شارع الحبيب بورقيبة بالمئات والآلاف والملايين],1
[بدون رمي ورود والتاريخ يشهد بذلك أنك رجل وصاحب مواقف بالنسبه لعلاء الشابي خوه ملقاش الرحمه والله حرام باش تتحدث أصلا],1
[برافو دكتور وان شاء الله بالتوفيق وربي يحفظ الجميع],1
[حفظكم الله ثبت خطاكم و سدد يمناكم الى الامام سيكون النصر حليفكم باذن الله],1
[ربي معاك دكتور و الفريق الكل و الجيش الأبيض المناظل اللي يخدم مش ينبر مثيل وقع صفاقسأكمل النحومثل الموقف أحسن رد الراقدين الماء العكر],1
[ربس يحميك و اعاديك انتم تجدموا و وراكم نساندوك و وقفين معاك الشكر و الاحترام لسيادتكم],1
[الله يرحم الوالدة والوالد واصل فان التشجيع منا متواصل والاجر الله سجلك حاصل ان شاء الله],1
[سيدي الكريم],1
[حفظكم الله],1
[اريد ان اخبرك اننا إطار التوقي فيروس كورونا قمنا بشراء المستلزمات لفائدة المستشفى أعوان الشرطة منعوني تم إرجاع البضاعة بتاعة ان المعمل ترخيص السيد الوالي يصنع الإطارات الأمنية وأعوانه الصحة يصنع  وقانون للمستشفى الحق التزود وا ن يحمي وأعوانه ورمضان ووفقكم الله سيدي],1
[كل التقدير والاحترام ولفريقكم],1
[دمتم ذخرا للوطن],1
[عندي سؤال سيدي الوزير وينهم الممرضين ندواتك الي تشكر و تمجد الطبة( احترامي لكل طبيب ) و مرة تعاود نفس لحكايا و اكيد راو قالولك اذكر الإطار الشبه الطبي مصمم إنشاء الله موش كره و كهو],1
[الاطباء وحدهم الواجهة ثما الممرضين الي هوما الواجهة قبل الاطباء الي هوما ديما منسيين],1
[بارك الله فيك وفيهم انت فخر],1
[رغم النقائص الا انه يتهاون ولم يخلق ويتعلل باية اعذار واهية منا الشكر والتقدير],1
[دمت فخرا للبلاد وزيرا وطبيبا وسدد الله خطاك واعانك وحماك وجازك الله خير],1
[جزيل الشكر و العرفان بالجميل اتبين جليا انك واقف وقفت جينيرال اسد متميز ميداني ثابت قراراتك ; عندي مؤاخذات لطيفة ليك حينما توليت نفس حقيبة الوزارية الماضي ولم تبلي البلاء الحسن بالكيفية المطلوبة يمكن لقيت مضايقات او تهديدات المسؤولية ازاء البلد امانة عظيمة مؤاخذات لطيفة حينما قلت تصريحاتك احنى النهضة اقوى اسلحة بن علي],1
[الظرف بالذات يجعلنا نعيد الحسابات جديد فالاولوية للصحةثم التعليم],1
[اخيرا عرفوا قيمتك و اجتهادك حاربوك سابقا و اعترضوا برامجك الاصلاحية و انشالله الازمة يرجعوش لسلف عهدهم],1
[التواضع سيمات المسلمين وانت تواضعك فاق الحدود انشاء الله الجنة وحفضك الله وراعاك وجزاك الله خيرا],1
[ربي يحفظك ايها الابي لطف عليكم وأطال الله عمركم فيالخير،الى الامام ونحنسندكم وجدار صد],1
[الممرضين ثروة البلاد و منغيرهم شي مت يمشي السبيطار حب حب و كره كره مقصر بارشا حقهم قال شنو الطبيب يقرر يلبس الحماية اي جامعة درست سيدي الوزير باش تقول هكا و ادعوك تفهم اكثر سلك التمريض و تطلع وين وصلو العالم],1
[الدعم والتاييد دكتور ولكامل الفريق ولكل جنود الصحة العمومية],1
[الدعم والمساندة انت أهل لثقتنا واصل قيادة سفينة النجاة وفقكم الله],1
[رجل بالف رجل زمن غاب الرجال الله يكون عونك],1
[سيدي الوزير راهو الوزارة مافيهاش كان طبة راهو الممرض تاعب زادة],1
[التقدير والاحترام و لكل الفريق الطبي والشبه طبي الله يحفظكم ويحفظ الساهرين علي صحة ومصالح التوانسة كلك إخلاص دكتور لوطنك وهذا تونسي ينتظره سنوات وإنشاء الله ميزان حسناتكم],1
[شكرا سيد الوزير عبد اللطيف المكي و التقدير والاحترام الرجل المناسب المكان المناسب موفق بإذن الله],1
[احتراما واعترافا بمجهوداتكم وحسن تسييركمواصل دكتورمع فريقك العمل ستكون بحول الله رجل المرحلة ومنقذ تونس وسيشهد التاريخ بذلك],1
[يعطيك الصحة وربي يجزيك خير وانشاء الله نتعدوها هالازمة سالمين غانمين ],1
[منظمة الصحة العالمية تختار السيد عبد اللطيف المكي احسن وزير صحة القارة الأفريقية شكرا سيدي الوزير رفعت راية 🇹🇳 الوطن الأمم و بربي الناس اللي عندها مشكل إيديولوجي و ماتعرش تقول للمحسن احسنت اسكتوا عالاقل 🇹🇳🇹🇳🇹🇳félicitations 🇹🇳🇹🇳🇹🇳],1
[بتوفيق سي عبد اللطف انتا ولأيطار اطبي ربي يوفقم ويبارك عملكم],1
[والله اقصم بالله هذ الإنسان أطيب قشعرلي بدني بكاني والله يرحم لميما الي جباتك ولفد الي تخبط برفو سيدي انتا انسان طيب طيب جدان تحياتي أعماق قلبي ابن تونس الغالي],1
[الاحترام والتقدير رغم اختلافى الكلي حركة النهضة],1
[رجل الشدائد الكل يفتخر لانه فعلا رجل دولة وصاحب المكان المناسب],1
[ربي يوفقك ويحرصك سوءواقول لك ياجبل يهزك ريح],1
[الدعم وربي يوفقكم خيرا للبلاد والعباد شاء الله 💞],1
[راجل وسيد الرجال تعلمنا سيرة المصطفى تستطيع تكون قائد مثل خالد ابن الوليد وعند الحاجة تكون جندي],1
[حقیقه کم انا فخور بهذه الثوره العظیمه،التی انجبت مثل الرجل،ربی یحمیک یا تونس الحبیبه],1
[شكرا أخلاق الشرفاء ربي يحميكم ويستركم سيد الوزير ويوفقكم الخير لتونس والشعب],1
[ربي معاك وربي يحفظك اخدم روحك رانا ماناش مصدقين الكلام للي يقولو],1
[بالتوفيق ان شاء الله انت الامل الوحيد لاصلاح قطاع الصحة],1
[الكلام الصحيح و التواضع الي يلزم يتحلى بيه مسؤول برافو],1
[ربي يمتعك بالصحة والعافية ويوفقك ويسدد خطاك رغم السفهاء],1
[ربي يبارك فيك ويكن عونكم لحماية البلد],1
[شدة وتزول ان العسر يسر],1
[واما الزبد فيذهب جوفاء واما ينفع الناس فيمكث الارض],1
[الله يعطيك الصحة والعافية وبارك الله فيك وفي امثالك سيكتب التاريخ وشدة وتزول وانتم],1
[https//wwfacebookcom/10043176761349/posts/199533468162544/?d=n ولاية القصرين القسم المخصص للكورونا يعطيهم الف صحة],1
[يجب الإطار الطبي و الشبه طبي بالإلتزام بمسافة السلامة و عدم التجمع خصوصا و أنهم يكونوا محميين كما رأينا الزيارة الميدانية بحضور رئيس الحكومة],1
[الشيء الايجابي الازمة انها اسقطت عدة اقنعة كان يختبىء ورائها البعض فظهر الجميع حقيقتهم و بان معدنهم],1
[شكرا جنرال مجهوداتك و وفقك عملك خيرا للوطن و المواطن],1
[كلام معبر، وأنت إنسان يفخر الوطن الشكر تقدمه للإنسانية وخوفك وحرصك سلامة أهالينا],1
[ربي يباركلك و انشااله ربي يوصلنا سلمات لبر الامان],1
[ربي معاك فالمحنة لاتلتفت للتافهين],1
[شكرا جزيلا سيدي الوزيرونحب نقلك جبل يهزك ريح، وربي يوفقك ويرحم والدين والديك],1
[بالتوفيق سي عبد اللطيف المكي],1
[ولكل أفراد الصحة],1
[إطار طبي وممرضين وعاملين بقطاع الصحة],1
[اروع الإنسان حقيقة رحم المعاناة يولد الرجالسعيد أنني اكتشفت الرجل],1
[يرحم الارحام الي تخبط التقدير و الاحترام اداء الواجب الدعم تونس تعيش],1
[ربي معاك يسدد خطاك],1
[حني معاك اخدم بلادك وخاف ربي وحني معاك],1
[ثروة البلاد تتكون أطباء و أعوان صحة و الجيش و رجال الأمن لكلنا عرضة للعدوى و للخطر أبسط الإيمان شوية تحفيز و تشجيع بكلمة سيدي الوزير وزارة الصحة لكل أعوان الصحة تقنيين و أطباء و ممرضين ✌️],1
[كان الله عونك و عونهم ],1
[وفقكم الله الخير والصلاح ],1
[عمركش شفت الذهب يصدد 💎💎 تاج رأسك سيدي👑👑],1
[شفتو التونسي يلقى الوطني يحبه ويدعيله بالخير واحد يقول كلمه ياكلوه بسنيه ياريت يفهمو المسؤولين ويكون الدكتور أكبر مثال ، الاحترام وربي يوفقك ويحميك 🌷🌷],1
[القائد و الرائد ربي يباركلك فعلا مدرسة فن القيادة حفظ الله],1
[البساطة و الهيبة و الصدق  إجتمعن بشر  ٱحترمه الجميع],1
[احترمتك لأنك سيد الموقف رغم اختلافي حزبك و لكنك اثبت ان تونس حزب الجميع ♥️♥️],1
[كلام يقوله الا الشريف النزيه المتواضع وهذه الصفات يتحلى من؟ انه قايد الجيش الأبيض د مكي],1
[كان الله عونك مادمت صادق ومخلص عملك ربي يوفقك دكتور و ربي يباركلك صحتك],1
[انشاء الله ربي اعونك ربي يهديك خير تونس ( سيدي الوزير احملك انت الإصابات الجديدة كان تعزل القادمين أوروبا و جميع المسافرين القادمين عازل صحي اجباري )],1
